Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
58/23	17,21258288	49,90928348	BERGSTADT (HORNￃﾍ MￄﾚSTO)	17389	1
67/53	20,16992129	54,80001676	POJERSTIETEN (KOLODCY)	1741	1
56/22	16,69330997	49,75727865	RANIGSDORF (LINHARTICE)	17433	1
57/22	16,92061223	49,77656682	MￃﾜGLITZ (MOHELNICE)	17442	1
58/22	17,19747408	49,76489875	RIBNIK (RYBNIￄﾌEK)	17460	1
55/22	16,41268819	49,73996807	STANGENDORF (VENDOLￃﾍ)	17468	1
68/53	20,50003508	54,76991096	BEYDRITTEN (PERVOMAJSKIJ)	1747	1
55/21	16,46388	49,64357938	NEU-BIELA (LAVIￄﾌNￃﾉ)	17504	1
56/21	16,60789251	49,63015779	SCHLETTAU (SLATINA)	17512	1
57/21	16,87865364	49,57204105	RUNARZ (RUNￃﾁￅﾘOV)	17520	1
58/21	17,177449	49,571549	NEBOTEIN (HNￄﾔVOTￃﾍN)	17521	1
59/23	17,42874992	49,89452106	TILLENDORF (TYLOV)	17568	1
69/53	20,77992635	54,78017981	BRASDORF (ANTONOVKA)	1758	1
60/23	17,70804928	49,89871152	MLADETZKO (MLADECKO)	17585	1
59/22	17,46310188	49,73079462	SEIBERSDORF (BￄﾚLￃﾁ)	17643	1
60/22	17,6829573	49,73318935	BERNHAU (BARNOV)	17659	1
61/22	17,97308317	49,70909491	KLANTENDORF	17680	1
62/22	18,132408	49,68902075	ENGELSWALD (MOￅﾠNOV)	17687	1
59/21	17,39883118	49,60097829	NIRKLOWITZ (MRSKLESY)	17698	1
60/21	17,68215393	49,60602071	PUNKENDORF (BOￅﾇKOV)	17713	1
70/53	21,08440964	54,75089788	GROￃﾟ GOLDBACH (SLAVINSK)	1772	1
61/21	17,89790677	49,58061423	HALBENDORF (POLOUVSￃﾍ)	17726	1
62/21	18,10923581	49,56425845	SENFTLEBEN (ￅﾽENKLAVA)	17737	1
66/24	19,326	49,98619	POLANKA WIELKA	-17739	1
66/23	19,28507	49,87652	BULOWICE	-17744	1
67/23	19,45265	49,87403	CHOCZNIA	-17746	1
65/23	18,99999994	49,82000004	ALT-BIELITZ (STARE BIELESKO)	-17749	1
41/20	12,80409953	49,46044599	LINZ (MLￃﾝNEC)	17759	1
42/19	13,091469	49,28078338	KOHLHEIM (UHLIￅﾠTￄﾚ)	17782	1
43/19	13,30276094	49,26612249	ￄﾌACHRAU (ￄﾌACHROV)	17792	1
43/18	13,33062137	49,12628901	HURKENTAL (HￅﾮRKA)	17801	1
44/18	13,57753261	49,12042561	ROTSAIFEN (ￄﾌERVENￃﾁ)	17824	1
45/18	13,78390364	49,05868188	WINTERBERG (VIMBERK)	17832	1
52/21	15,64233287	49,62987755	SEHRLENZ (ￅﾽDￃﾍREC)	17843	1
51/20	15,46916346	49,43296588	IRSCHING (JIￅﾘￃﾍN)	17854	1
52/20	15,63065627	49,43386003	HILBERSDORF (JIHLAVA-HEROLTICE)	17862	1
51/19	15,48846857	49,33208877	SOLLOWITZ (SALAVICE)	17876	1
52/19	15,58516769	49,28224193	STANNERN (STONAￅﾘOV)	17878	1
49/19	14,95990581	49,21963599	RIEGERSCHLAG (LODHￃﾉￅﾘOV)	17881	1
50/19	15,002329	49,202983	WENKERSCHLAG (DOLNￃﾍ RADOUￅﾇ)	17882	1
49/18	14,95741261	49,13556567	BUCHEN (BUK)	17884	1
50/18	15,12750069	49,11172776	HOSTERSCHLAG (ￄﾌLUNEK)	17895	1
51/18	15,35769926	49,08701313	LIPOLZ (LIPOLEC)	17898	1
56/19	16,63439555	49,18723537	CZERNOWITZ (ￄﾌERNOVICE)	17940	1
57/19	16,90652995	49,21777218	GUNDRUM (KOMOￅﾘANY)	17942	1
55/18	16,48229302	49,05485994	PRAHLITZ (PRAVLOV)	17956	1
56/18	16,60669491	49,05257221	WOIKOWITZ (VOJKOVICE)	17961	1
71/21	20,40843205	49,38054456	SUB-LECHNITZ (LECHNICA)	17967	1
71/20	20,49157246	49,26407216	TOPPORTZ (TOPOREC)	17968	1
72/20	20,73249786	49,29620693	HOBGARD (CHMEￄﾽNICA)	17972	1
70/19	20,26734886	49,1223043	NEU WALDDORF (NOVￃﾁ LESNￃﾁ)	17981	1
71/19	20,4730914	49,08532369	DURELSDORF (TVAROￅﾽNￃﾁ)	17993	1
72/19	20,58848476	49,02564128	LEUTSCHAU (LEVOￄﾌA)	17999	1
55/46	16,69276	53,74786	GALOWO	180	1
71/18	20,56768978	48,94297995	ZIPSER NEUDORF (SPIￅﾠSKￃﾁ NOVￃﾁ VES)	18000	1
72/18	20,62	48,84	WAGENDRÜSSEL (NÁLEPKOVO)	18001	1
73/18	20,93372629	48,85146308	GￃﾖLLNITZ (GELNICA)	18003	1
71/17	20,36687276	48,8196973	DOBSCHAU (DOBￅﾠINￃﾁ)	18004	1
72/17	20,74010208	48,73016195	SCHMￃﾖLLNITZ (SMOLNￃﾍK)	-18008	1
73/17	20,90633397	48,71071744	METZENSEIFEN (MEDZEV)	18010	1
44/17	13,59260046	48,96730053	BUCHWALD (BUￄﾌINA)	18013	1
45/17	13,79494123	48,94551277	SCHATTAWA (ZￃﾁTON)	18018	1
46/17	14,10381253	48,94718523	ZABORSCH (ZￃﾁHORￃﾍ)	18028	1
45/16	13,87892421	48,81591509	HIRSCHBERGEN (HIRￅﾠPERKY/JELENI)	18058	1
46/16	14,0740231	48,78213936	HONETSCHLAG (HODￅﾇOV)	18064	1
45/15	13,84145	48,60522	KOLLERSCHLAG	18091	1
46/15	14,10455829	48,64006942	SANKT THOMA (SVATￃﾝ TOMￃﾁￅﾠ)	18095	1
47/15	14,31207319	48,6157219	HOHENFURTH (VYￅﾠￅﾠￃﾍ BROD)	18101	1
47/17	14,42805572	48,93731559	HUMMELN (HOMOLE)	18132	1
48/17	14,53884842	48,99293587	RUDOLFSTADT (RUDOLFOV)	18135	1
50/17	15,12159	48,9312	GROSS-RADISCHEN	18144	1
47/16	14,35130255	48,78070398	PRIETHAL (PRￃﾍDOLￃﾍ)	18188	1
48/16	14,62222893	48,76157409	GOLLNETSCHLAG (KLENￃﾍ)	18192	1
49/16	14,86460492	48,79093469	WEISSENBACH (VYSNￃﾉ)	18210	1
50/16	15,11402	48,77595	LANGSCHWARZA	18218	1
75/54	22,5167	54,8167	RUDSZEN (POLTAVSKOE)	1829	1
48/15	14,60020725	48,61371164	UNTERWALD	18290	1
49/15	14,8248	48,62922	BAD GROSSPERTHOLZ	18296	1
50/15	15,1154	48,63319	OBERSTRAHLBACH	18310	1
51/17	15,35237	48,93926	WALDKIRCHEN	18359	1
52/17	15,61331894	48,93919862	HAFNERLUDEN (LUBNICE)	18364	1
53/17	15,84398284	48,93495691	SCHILTERN (ￅﾠTￃﾍTARY)	18367	1
54/17	16,15731666	48,88788008	TￃﾖSTITZ (TￄﾚￅﾠETICE)	18407	1
76/54	22,81669606	54,80000132	WARUPￃﾖNEN (FￃﾋDOROVKA)	1842	1
51/16	15,3815	48,79309	DIETMANNS	18432	1
52/16	15,63866	48,77886	SCHIRMANNSREITH	18441	1
53/16	15,90257	48,77849	HOFERN	18454	1
56/46	16,96984	53,75059	JELNIA	185	1
54/16	16,13160996	48,7465636	GERSTENFELD (JEￄﾌMENIￅﾠTￄﾚ)	18508	1
51/15	15,39468	48,61876	FRANZEN	18525	1
52/15	15,63736	48,62925	ROSENBURG	18534	1
53/15	15,84912	48,58705	OBERDÜRNBACH	18554	1
54/15	16,09658	48,58647	ASPERSDORF	18559	1
55/17	16,37348031	48,91950827	DAMNITZ (DAMNICE)	18607	1
56/17	16,65177623	48,90542723	TRACHT (STRACHOTￃﾍN)	18627	1
57/17	16,76723342	48,8738553	SAITZ (ZAJECￃﾍ)	18637	1
55/16	16,38060332	48,75125755	HￃﾖFLEIN AN DER THAYA (HEVLￃﾍN)	18642	1
56/16	16,61147	48,74191	STￃﾜTZENHOFEN	18672	1
57/16	16,86919	48,69199	BERNHARDSTHAL	18686	1
55/15	16,38001	48,59086	PYHRA	18701	1
56/15	16,64461	48,58654	WILFERSDORF	18707	1
57/15	16,81931	48,58918	PALTERNDORF	18716	1
64/18	18,7060573	48,96952464	MￃﾜNCHWIES (VRￃﾍCKO)	18753	1
64/17	18,65497127	48,86560792	BETTELSDORF (SOLKA)	18759	1
65/17	18,88553826	48,82156122	OBERSTUBEN (HORNￃﾁ STUBNA)	18763	1
64/16	18,75578607	48,72212455	KRICKERHￃﾄU (HANDLOVￃﾁ)	18767	1
65/16	18,87405447	48,68562767	DEUTSCH-LITTA (KOPERNICA)	18773	1
64/15	18,56458171	48,54111692	HOCHWIESEN (VEL'Kￃﾉ POLE)	18774	1
43/13	13,33412	48,29152	SANKT GEORGEN BEI OBERNBERG AM INN	18786	1
41/12	12,87807	48,13026	HOCHBURG	18800	1
42/12	13,08331	48,12996	PISCHELSDORF AM ENGELBACH	18805	1
45/14	13,88061	48,46514	NIEDERKAPPEL	18846	1
46/14	14,08545	48,45077	NIEDERWALDKIRCHEN	18855	1
