Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Caused Motion Alternation	Goal Alternation - Prepositional (ʾilâ+ 'to') / Accusative Object	Locative Alternation 1	Locative Alternation 2	Locative Alternation 3	Object Adding Alternation	Object Omission Alternation	Prepositional (bi+) / Accusative object Alternation	Prepositional (min 'from') / Accusative Object Alternation	Stem II Causative	Stem IV Causative	Stem V Anticausative	Stem V Reflexive	Stem VI Passive	Stem VI Reciprocal	Stem VI Reflexive	Stem VII Anticausative	Stem VII Passive	Stem VIII Anticausative	Stem VIII Reciprocal	Stem VIII Reflexive	Stem X Causative	Theme / Recipient Alternation - Prepositional (li+ 'to') / Accusative Object	Theme / Source Alternation - Prepositional (min+ 'from') Accusative Object
Modern Standard Arabic	60	FEEL COLD	šaʿara bilbardi	144, 226	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	61	DIE	māta	17, 145, 146, 147	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	62	PLAY	laʿaba	148, 149	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	63	BE SAD	ḥazīnun	150, 239, 240, 241, 242	V 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	64	BE HUNGRY	ǧāʾiʿun	151, 231, 232, 233, 234	V 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	65	ROLL	tadaḥraǧa	152	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	66	SINK	ġariqa	153, 154, 155	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	No data	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	67	BURN	iḥtaraqa	156, 157, 158	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	68	BE DRY	ǧāffun	235, 236, 237, 238	V 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	69	RAIN	ʾamṭarat	137, 138	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	70	BE A HUNTER	ṣayyādun	227, 228, 229, 230	V 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	71	GRIND	ṭaḥana	159	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	72	WIPE	masaḥa	160, 161, 162	V.subj[1] 1-nom 2-acc (ʿan+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	73	DIG	ḥafara	164, 165, 219	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	No data	Never	Never	Never
Modern Standard Arabic	73	DIG	nabaša	163, 220, 221	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	74	PUSH	daḥara	166, 167, 168	V.subj[1] 1-nom 2-acc LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	75	BRING	ʾaḥḍara	169	V.subj[1] 1-nom 2-acc (ʾilâ+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	76	STEAL	saraqa	170, 171, 222, 224, 225	V.subj[1] 1-nom 2-acc (min+3)	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly
Modern Standard Arabic	77	TEACH	ʿallama	172, 174	V.subj[1] 1-nom 2-acc 3-acc	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	78	HEAR	samiʿa	177, 178, 179, 209	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	79	COOK	ṭabaḫa	180, 217, 223	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	80	BOIL	ġalâ	139, 140	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
