Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Abstract subject	Accidental Body-part	Accidental Reflexive	Assisting Body-part	Benefactive	Causative-Inchoative	Cognate Object	Conative	Dative	Direct Quotation	Directed Nonverbal Expression	Experiencer Passive with of-Stimulus	Gerundive complement	Get-a-VP(nominal)	Have-a-VP(nominal)	Inchoative-Causative	Instrumental Object	Instrumental Subject	Into-Resultative	Location-capacity subject	Locative	Locative promotion	Locus of personal contact	Malefactive	Middle	Path subject	Possessor ascension	Quasi-agentive Instrumental Subject	Quasi-benefactive-accompaniment with	Reciprocal	Resultative complement	Source-of-part	Stimulus prepositional object	Stimulus Subject	That-complement	To-complement	Topic-about	Understood Omitted Object	Understood Reflexive Object	Way-construction	Wh-complement	With/against alternation
English	48	CLIMB	climb	28, 29, 30, 31, 413	1-nom > V.subj[1] > LOC2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
English	49	RUN	run	277, 278, 279, 280, 348	1-nom > V.subj[1]	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	50	SIT	sit	271, 272	1-nom > V.subj[1] > LOC2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	51	SIT DOWN	sit down	281, 282	1-nom > V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	52	JUMP	jump	86, 87, 88	1-nom > V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never
English	53	SING	sing	123, 124, 447, 448	1-nom > V.subj[1]	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never
English	54	GO	go	283, 284, 285, 286	1-nom > V.subj[1] > LOC2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	55	LEAVE	leave	273, 274, 275, 276, 439	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
English	56	LIVE	live	221, 222, 223	1-nom > V.subj[1] > LOC2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	57	LAUGH	laugh	22, 23, 24, 420	1-nom > V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
